Attempts
Date,Attempted
2015-05-01,36
2015-05-02,29
2015-05-04,26
2015-05-07,11
2015-05-08,17
2015-05-09,52
2015-05-10,4
2015-05-11,33
2015-05-12,12
2015-05-13,42
2015-05-14,27
2015-05-15,38
2015-05-16,25
2015-05-17,47
2015-05-18,40
2015-05-19,21
2015-05-20,18
2015-05-21,15
2015-05-22,56
2015-05-23,85
2015-05-24,57
2015-05-25,46
2015-05-26,19
2015-05-27,29
2015-05-28,30
2015-05-29,78
2015-05-30,155
2015-05-31,22

climbing routes
Date,Route,Attempted,Succeeded,Success Percentage
2015-05-04,Ingraham Direct,5,0,0.0
2015-05-04,Fuhrers Finger,2,0,0.0
2015-05-02,Fuhrers Finger,2,0,0.0
2015-05-02,Fuhrers Finger,2,0,0.0
2015-05-02,Liberty RIngraham Directge,2,0,0.0
2015-05-02,Ingraham Direct,3,0,0.0
2015-05-02,Fuhrers Finger,2,0,0.0
2015-05-02,Disappointment Cleaver,2,0,0.0
2015-05-02,Disappointment Cleaver,2,0,0.0
2015-05-02,glacier only - no summit attempt,2,0,0.0
2015-05-02,Disappointment Cleaver,3,0,0.0
2015-05-02,Fuhrers Finger,4,0,0.0
2015-05-02,Little Tahoma,3,0,0.0
2015-05-02,Emmons-Winthrop,2,0,0.0
2015-05-01,Fuhrers Finger,2,0,0.0
2015-05-01,Ingraham Direct,2,0,0.0
2015-05-01,Disappointment Cleaver,3,0,0.0
2015-05-01,Disappointment Cleaver,3,3,1.0
2015-05-01,Disappointment Cleaver,2,2,1.0
2015-05-01,Disappointment Cleaver,2,0,0.0
2015-05-01,Nisqually Glacier,12,0,0.0
2015-05-01,Fuhrers Finger,5,0,0.0
2015-05-01,Fuhrers Finger,3,0,0.0
2015-05-01,Disappointment Cleaver,2,0,0.0

Weatherlog 2015531
Route,Attempted,Succeeded,Success Percentage
Disappointment Cleaver,22,19,1.727272727

Totals
,Battery Voltage AVG,13.61125
,Temperature AVG,38.96666667
,Relative Humidity AVG,57.53291667
,Wind Speed Daily AVG,26.49375
,Wind Direction AVG,274.8
,Solare Radiation AVG,292.17425

Weatherlog 2015530
Route,Attempted,Succeeded,Success Percentage
Disappointment Cleaver,121,46,7.999999999999999
Emmons-Winthrop,6,2,1.0
Gibralter Ledges,3,0,0.0
Ingraham Direct,5,5,2.0
Kautz Glacier,4,2,1.0
Liberty RIngraham Directge,2,2,1.0
Little Tahoma,11,0,0.0
glacier only - no summit attempt,3,0,0.0

Totals
,Battery Voltage AVG,13.5775
,Temperature AVG,40.17125
,Relative Humidity AVG,36.86833333
,Wind Speed Daily AVG,9.813375
,Wind Direction AVG,247.1904167
,Solare Radiation AVG,352.442875

Weatherlog 2015529
Route,Attempted,Succeeded,Success Percentage
Curtis RIngraham Directge,2,0,0.0
Disappointment Cleaver,63,40,6.416666665999999
Fuhrers Finger,2,2,1.0
Kautz Glacier,2,2,1.0
Liberty RIngraham Directge,4,0,0.0
Little Tahoma,2,2,1.0
Ptarmigan RIngraham Directge,3,0,0.0

Totals
,Battery Voltage AVG,13.59458333
,Temperature AVG,36.655
,Relative Humidity AVG,71.65125
,Wind Speed Daily AVG,24.68633333
,Wind Direction AVG,274.7666667
,Solare Radiation AVG,245.2959167

Weatherlog 2015528
Route,Attempted,Succeeded,Success Percentage
