Attempts
Date,Attempted
2015-07-01,111
2015-07-02,98
2015-07-03,186
2015-07-04,74
2015-07-05,82
2015-07-06,131
2015-07-07,61
2015-07-08,65
2015-07-09,120
2015-07-10,132
2015-07-11,108
2015-07-12,90
2015-07-13,96
2015-07-14,137
2015-07-15,66
2015-07-16,127
2015-07-17,152
2015-07-18,141
2015-07-19,72
2015-07-20,82
2015-07-21,85
2015-07-22,55
2015-07-23,68
2015-07-24,55
2015-07-25,84
2015-07-26,98
2015-07-27,52
2015-07-28,44
2015-07-29,23
2015-07-30,40
2015-07-31,123

climbing routes
Date,Route,Attempted,Succeeded,Success Percentage
2015-07-16,Disappointment Cleaver,2,0,0.0
2015-07-16,Disappointment Cleaver,3,3,1.0
2015-07-16,Emmons-Winthrop,8,8,1.0
2015-07-16,Disappointment Cleaver,12,0,0.0
2015-07-16,Kautz Glacier,5,0,0.0
2015-07-16,Disappointment Cleaver,6,0,0.0
2015-07-16,Emmons-Winthrop,12,10,0.833333333
2015-07-16,Disappointment Cleaver,11,0,0.0
2015-07-16,Disappointment Cleaver,2,2,1.0
2015-07-16,Emmons-Winthrop,3,3,1.0
2015-07-16,Emmons-Winthrop,2,0,0.0
2015-07-16,Disappointment Cleaver,4,4,1.0
2015-07-16,Disappointment Cleaver,12,8,0.666666667
2015-07-15,Disappointment Cleaver,11,6,0.545454545
2015-07-15,Disappointment Cleaver,2,0,0.0
2015-07-15,Disappointment Cleaver,2,2,1.0
2015-07-15,Disappointment Cleaver,12,6,0.5
2015-07-15,Disappointment Cleaver,3,0,0.0
2015-07-15,Emmons-Winthrop,4,0,0.0
2015-07-15,Disappointment Cleaver,11,5,0.454545455
2015-07-15,Disappointment Cleaver,3,3,1.0
2015-07-15,Disappointment Cleaver,12,12,1.0
2015-07-15,Liberty RIngraham Directge,2,0,0.0
2015-07-15,Disappointment Cleaver,4,3,0.75
2015-07-14,Disappointment Cleaver,2,2,1.0
2015-07-14,Disappointment Cleaver,2,2,1.0
2015-07-14,Little Tahoma,2,0,0.0
2015-07-14,Disappointment Cleaver,4,4,1.0
2015-07-14,Disappointment Cleaver,9,6,0.666666667
2015-07-14,Kautz Glacier,12,9,0.75
2015-07-14,Disappointment Cleaver,12,10,0.833333333
2015-07-14,Disappointment Cleaver,11,9,0.818181818
2015-07-14,Emmons-Winthrop,12,12,1.0
2015-07-14,Emmons-Winthrop,11,0,0.0
2015-07-14,Disappointment Cleaver,4,0,0.0
2015-07-14,Disappointment Cleaver,2,2,1.0
2015-07-14,Kautz Glacier,4,0,0.0
2015-07-14,Disappointment Cleaver,6,6,1.0
2015-07-14,Disappointment Cleaver,4,4,1.0
2015-07-14,Disappointment Cleaver,2,2,1.0
2015-07-14,Disappointment Cleaver,3,3,1.0
2015-07-14,Disappointment Cleaver,3,3,1.0
2015-07-14,Emmons-Winthrop,6,6,1.0
2015-07-14,Disappointment Cleaver,8,6,0.75
2015-07-14,Emmons-Winthrop,6,3,0.5
2015-07-14,Kautz Glacier,12,0,0.0
2015-07-13,Disappointment Cleaver,3,0,0.0
2015-07-13,Disappointment Cleaver,7,6,0.857142857
2015-07-13,Emmons-Winthrop,11,0,0.0
2015-07-13,Disappointment Cleaver,12,10,0.833333333
2015-07-13,Disappointment Cleaver,12,8,0.666666667
2015-07-13,Disappointment Cleaver,12,10,0.833333333
2015-07-13,Disappointment Cleaver,6,6,1.0
2015-07-13,Kautz Glacier,6,4,0.666666667
2015-07-13,Disappointment Cleaver,2,0,0.0
2015-07-13,Disappointment Cleaver,3,0,0.0
2015-07-13,Disappointment Cleaver,1,0,0.0
2015-07-13,Disappointment Cleaver,3,3,1.0
2015-07-13,Disappointment Cleaver,5,5,1.0
2015-07-13,Disappointment Cleaver,3,3,1.0
2015-07-13,Disappointment Cleaver,5,5,1.0
2015-07-13,Emmons-Winthrop,5,0,0.0
2015-07-12,Disappointment Cleaver,4,3,0.75
2015-07-12,Emmons-Winthrop,3,3,1.0
