Attempts
Date,Attempted
2015-06-01,34
2015-06-02,30
2015-06-03,31
2015-06-04,98
2015-06-05,126
2015-06-06,145
2015-06-07,91
2015-06-08,59
2015-06-09,72
2015-06-10,43
2015-06-11,74
2015-06-12,141
2015-06-13,130
2015-06-14,59
2015-06-15,87
2015-06-16,60
2015-06-17,75
2015-06-18,94
2015-06-19,145
2015-06-20,149
2015-06-21,87
2015-06-22,123
2015-06-23,119
2015-06-24,114
2015-06-25,139
2015-06-26,193
2015-06-27,193
2015-06-28,113
2015-06-29,121
2015-06-30,81

climbing routes
Date,Route,Attempted,Succeeded,Success Percentage
2015-06-25,Disappointment Cleaver,3,0,0.0
2015-06-25,Disappointment Cleaver,12,9,0.75
2015-06-25,Emmons-Winthrop,12,11,0.916666667
2015-06-24,Ptarmigan RIngraham Directge,2,0,0.0
2015-06-24,Disappointment Cleaver,4,4,1.0
2015-06-24,Disappointment Cleaver,7,7,1.0
2015-06-24,Disappointment Cleaver,12,0,0.0
2015-06-24,Disappointment Cleaver,12,12,1.0
2015-06-24,Little Tahoma,2,1,0.5
2015-06-24,glacier only - no summit attempt,1,0,0.0
2015-06-24,Disappointment Cleaver,2,0,0.0
2015-06-24,Emmons-Winthrop,2,2,1.0
2015-06-24,Disappointment Cleaver,2,2,1.0
2015-06-24,Emmons-Winthrop,3,0,0.0
2015-06-24,Disappointment Cleaver,9,8,0.8888888890000001
2015-06-24,glacier only - no summit attempt,1,0,0.0
2015-06-24,Disappointment Cleaver,12,7,0.583333333
2015-06-24,Disappointment Cleaver,11,8,0.727272727
2015-06-24,Tahoma Glacier,2,2,1.0
2015-06-24,Disappointment Cleaver,6,6,1.0
2015-06-24,Disappointment Cleaver,12,10,0.833333333
2015-06-24,Emmons-Winthrop,4,0,0.0
2015-06-24,Disappointment Cleaver,3,0,0.0
2015-06-24,Emmons-Winthrop,3,3,1.0
2015-06-24,Tahoma Glacier,2,0,0.0
2015-06-23,Disappointment Cleaver,1,1,1.0
2015-06-23,Disappointment Cleaver,5,5,1.0
2015-06-23,Emmons-Winthrop,4,0,0.0
2015-06-23,Disappointment Cleaver,2,5,2.5
2015-06-23,Disappointment Cleaver,3,3,1.0
2015-06-23,Emmons-Winthrop,12,11,0.916666667
2015-06-23,Kautz Glacier,3,3,1.0
2015-06-23,Disappointment Cleaver,2,2,1.0
2015-06-23,Disappointment Cleaver,4,4,1.0
2015-06-23,Disappointment Cleaver,4,4,1.0
2015-06-23,Emmons-Winthrop,6,5,0.833333333
2015-06-23,Emmons-Winthrop,2,2,1.0
2015-06-23,Kautz Glacier,12,10,0.833333333
2015-06-23,Disappointment Cleaver,12,9,0.75
2015-06-23,Disappointment Cleaver,11,11,1.0
2015-06-23,Kautz Glacier,12,10,0.833333333
2015-06-23,Disappointment Cleaver,12,12,1.0
2015-06-23,Disappointment Cleaver,12,12,1.0
2015-06-22,Emmons-Winthrop,2,2,1.0
2015-06-22,Disappointment Cleaver,3,3,1.0
2015-06-22,Emmons-Winthrop,4,4,1.0
2015-06-22,Little Tahoma,8,8,1.0
2015-06-22,Emmons-Winthrop,2,2,1.0
2015-06-22,Disappointment Cleaver,2,1,0.5
2015-06-22,Disappointment Cleaver,2,0,0.0
2015-06-22,Disappointment Cleaver,4,2,0.5
2015-06-22,Kautz Glacier,5,5,1.0
2015-06-22,Kautz Glacier,5,0,0.0
2015-06-22,Disappointment Cleaver,3,0,0.0
2015-06-22,Liberty RIngraham Directge,2,2,1.0
2015-06-22,Emmons-Winthrop,2,2,1.0
2015-06-22,Kautz Glacier,3,3,1.0
2015-06-22,Disappointment Cleaver,11,0,0.0
2015-06-22,Disappointment Cleaver,6,6,1.0
2015-06-22,Kautz Glacier,3,3,1.0
2015-06-22,Disappointment Cleaver,5,0,0.0
2015-06-22,Kautz Glacier,2,0,0.0
2015-06-22,Disappointment Cleaver,2,2,1.0
2015-06-22,Disappointment Cleaver,11,7,0.636363636
2015-06-22,Emmons-Winthrop,12,10,0.833333333
2015-06-22,Disappointment Cleaver,12,6,0.5
2015-06-22,Disappointment Cleaver,12,0,0.0
2015-06-21,Ingraham Direct,4,0,0.0
2015-06-21,Disappointment Cleaver,2,0,0.0
2015-06-21,Disappointment Cleaver,3,0,0.0
2015-06-21,Disappointment Cleaver,2,0,0.0
2015-06-21,Disappointment Cleaver,12,9,0.75
2015-06-21,Disappointment Cleaver,12,5,0.41666666700000005
2015-06-21,Emmons-Winthrop,2,0,0.0
2015-06-21,Disappointment Cleaver,12,12,1.0
2015-06-21,Kautz Glacier,12,0,0.0
2015-06-21,Kautz Glacier,3,3,1.0
2015-06-21,Disappointment Cleaver,3,0,0.0
2015-06-21,Emmons-Winthrop,3,3,1.0
2015-06-21,Emmons-Winthrop,2,0,0.0
2015-06-21,Emmons-Winthrop,12,9,0.75
2015-06-21,Kautz Glacier,3,0,0.0
2015-06-20,Emmons-Winthrop,3,0,0.0
2015-06-20,Kautz Cleaver,2,0,0.0
2015-06-20,Disappointment Cleaver,12,6,0.5
2015-06-20,Ptarmigan RIngraham Directge,2,2,1.0
2015-06-20,Emmons-Winthrop,2,2,1.0
2015-06-20,Emmons-Winthrop,3,0,0.0
2015-06-20,Emmons-Winthrop,4,4,1.0
2015-06-20,Emmons-Winthrop,4,0,0.0
2015-06-20,Little Tahoma,2,0,0.0
2015-06-20,Little Tahoma,4,4,1.0
2015-06-20,Emmons-Winthrop,4,4,1.0
2015-06-20,Kautz Glacier,2,2,1.0
2015-06-20,Disappointment Cleaver,3,0,0.0
2015-06-20,Disappointment Cleaver,4,1,0.25
2015-06-20,Disappointment Cleaver,3,3,1.0
2015-06-20,Disappointment Cleaver,6,6,1.0
2015-06-20,Kautz Glacier,3,3,1.0
2015-06-20,Disappointment Cleaver,3,3,1.0
2015-06-20,Disappointment Cleaver,3,0,0.0
2015-06-20,Disappointment Cleaver,11,5,0.454545455
2015-06-20,Disappointment Cleaver,7,3,0.428571429
2015-06-20,Disappointment Cleaver,4,4,1.0
2015-06-20,Emmons-Winthrop,3,0,0.0
2015-06-20,Kautz Cleaver,2,2,1.0
2015-06-20,Disappointment Cleaver,2,0,0.0
2015-06-20,Disappointment Cleaver,2,0,0.0
2015-06-20,Disappointment Cleaver,3,0,0.0
2015-06-20,Disappointment Cleaver,2,0,0.0
2015-06-20,Disappointment Cleaver,3,3,1.0
2015-06-20,Disappointment Cleaver,12,10,0.833333333
2015-06-20,Disappointment Cleaver,12,10,0.833333333
2015-06-20,Emmons-Winthrop,12,11,0.916666667
2015-06-20,Disappointment Cleaver,1,0,0.0
2015-06-20,Disappointment Cleaver,4,0,0.0
2015-06-19,Disappointment Cleaver,4,0,0.0
2015-06-19,Ptarmigan RIngraham Directge,3,3,1.0
2015-06-19,Disappointment Cleaver,5,5,1.0
2015-06-19,glacier only - no summit attempt,2,0,0.0
2015-06-19,Disappointment Cleaver,4,0,0.0
2015-06-19,Little Tahoma,8,7,0.875
2015-06-19,Emmons-Winthrop,4,4,1.0
2015-06-19,Emmons-Winthrop,8,8,1.0
2015-06-19,Emmons-Winthrop,2,2,1.0
2015-06-19,Emmons-Winthrop,4,4,1.0
2015-06-19,Emmons-Winthrop,4,4,1.0
2015-06-19,Disappointment Cleaver,2,0,0.0
2015-06-19,Disappointment Cleaver,3,3,1.0
2015-06-19,Emmons-Winthrop,2,0,0.0
2015-06-19,Disappointment Cleaver,3,3,1.0
2015-06-19,Disappointment Cleaver,2,2,1.0
2015-06-19,Disappointment Cleaver,4,4,1.0
2015-06-19,Disappointment Cleaver,5,0,0.0
2015-06-19,Disappointment Cleaver,2,2,1.0
2015-06-19,Disappointment Cleaver,4,4,1.0
2015-06-19,glacier only - no summit attempt,12,0,0.0
2015-06-19,Disappointment Cleaver,12,0,0.0
2015-06-19,Disappointment Cleaver,4,4,1.0
2015-06-19,Disappointment Cleaver,2,0,0.0
2015-06-19,Emmons-Winthrop,2,2,1.0
2015-06-19,Emmons-Winthrop,2,0,0.0
2015-06-19,Emmons-Winthrop,2,0,0.0
2015-06-19,Ptarmigan RIngraham Directge,2,0,0.0
2015-06-19,Mowich Face,2,2,1.0
2015-06-19,Disappointment Cleaver,12,10,0.833333333
2015-06-19,Disappointment Cleaver,12,8,0.666666667
2015-06-19,Disappointment Cleaver,4,4,1.0
2015-06-19,Sunset RIngraham Directge,2,0,0.0
2015-06-18,Disappointment Cleaver,5,5,1.0
2015-06-18,glacier only - no summit attempt,2,0,0.0
2015-06-18,Emmons-Winthrop,5,4,0.8
2015-06-18,Emmons-Winthrop,6,4,0.666666667
2015-06-18,Disappointment Cleaver,3,2,0.666666667
2015-06-18,Disappointment Cleaver,3,3,1.0
2015-06-18,Disappointment Cleaver,6,0,0.0
2015-06-18,Disappointment Cleaver,4,0,0.0
2015-06-18,Disappointment Cleaver,2,0,0.0
2015-06-18,Disappointment Cleaver,9,0,0.0
2015-06-18,Disappointment Cleaver,2,2,1.0
2015-06-18,Disappointment Cleaver,12,11,0.916666667
2015-06-18,Disappointment Cleaver,12,10,0.833333333
2015-06-18,Emmons-Winthrop,3,3,1.0
2015-06-18,Emmons-Winthrop,2,2,1.0
2015-06-18,Disappointment Cleaver,2,2,1.0
2015-06-18,Emmons-Winthrop,4,3,0.75
2015-06-18,Disappointment Cleaver,12,8,0.666666667
2015-06-17,Emmons-Winthrop,7,0,0.0
2015-06-17,Disappointment Cleaver,2,2,1.0
2015-06-17,Liberty RIngraham Directge,2,0,0.0
2015-06-17,Disappointment Cleaver,6,6,1.0
2015-06-17,Disappointment Cleaver,11,11,1.0
2015-06-17,Disappointment Cleaver,12,10,0.833333333
2015-06-17,Disappointment Cleaver,12,0,0.0
2015-06-17,Disappointment Cleaver,12,0,0.0
2015-06-17,Disappointment Cleaver,11,10,0.9090909090000001
2015-06-16,Disappointment Cleaver,4,4,1.0
2015-06-16,Disappointment Cleaver,3,3,1.0
2015-06-16,Disappointment Cleaver,11,7,0.636363636
2015-06-16,Kautz Glacier,12,10,0.833333333
2015-06-16,Disappointment Cleaver,11,7,0.636363636
2015-06-16,Emmons-Winthrop,2,2,1.0
2015-06-16,Disappointment Cleaver,2,2,1.0
2015-06-16,Disappointment Cleaver,2,2,1.0
2015-06-16,Disappointment Cleaver,1,1,1.0
2015-06-16,Emmons-Winthrop,4,4,1.0
2015-06-16,Liberty RIngraham Directge,4,4,1.0
2015-06-16,Disappointment Cleaver,2,2,1.0
2015-06-16,Disappointment Cleaver,2,2,1.0
2015-06-15,Emmons-Winthrop,12,8,0.666666667
2015-06-15,Disappointment Cleaver,2,2,1.0
2015-06-15,Disappointment Cleaver,3,0,0.0
2015-06-15,Emmons-Winthrop,3,2,0.666666667
2015-06-15,Emmons-Winthrop,11,11,1.0
2015-06-15,Emmons-Winthrop,3,2,0.666666667
2015-06-15,Disappointment Cleaver,4,4,1.0
2015-06-15,Disappointment Cleaver,3,3,1.0
2015-06-15,Disappointment Cleaver,4,0,0.0
2015-06-15,Disappointment Cleaver,12,12,1.0
2015-06-15,Disappointment Cleaver,12,8,0.666666667
2015-06-15,Disappointment Cleaver,12,10,0.833333333
2015-06-15,Disappointment Cleaver,3,2,0.666666667
2015-06-15,Disappointment Cleaver,3,2,0.666666667
2015-06-14,Fuhrers Finger,5,0,0.0
2015-06-14,Disappointment Cleaver,11,7,0.636363636
2015-06-14,Kautz Glacier,12,12,1.0
2015-06-14,Emmons-Winthrop,2,2,1.0
2015-06-14,Emmons-Winthrop,3,3,1.0
2015-06-14,Disappointment Cleaver,4,4,1.0
2015-06-14,Disappointment Cleaver,2,2,1.0
2015-06-14,Disappointment Cleaver,2,0,0.0
2015-06-14,Disappointment Cleaver,5,5,1.0
2015-06-14,Disappointment Cleaver,3,0,0.0
2015-06-14,Emmons-Winthrop,4,4,1.0
2015-06-14,Disappointment Cleaver,2,2,1.0
2015-06-14,Disappointment Cleaver,4,4,1.0
2015-06-13,Emmons-Winthrop,3,2,0.666666667
2015-06-13,Disappointment Cleaver,4,3,0.75
2015-06-13,Disappointment Cleaver,4,4,1.0
2015-06-13,Disappointment Cleaver,2,0,0.0
2015-06-13,Disappointment Cleaver,1,0,0.0
2015-06-13,Disappointment Cleaver,2,0,0.0
2015-06-13,Disappointment Cleaver,3,3,1.0
2015-06-13,Disappointment Cleaver,2,2,1.0
2015-06-13,Emmons-Winthrop,6,6,1.0
2015-06-13,Disappointment Cleaver,4,4,1.0
2015-06-13,Disappointment Cleaver,4,4,1.0
2015-06-13,Liberty RIngraham Directge,3,3,1.0
2015-06-13,Emmons-Winthrop,3,3,1.0
2015-06-13,Emmons-Winthrop,2,0,0.0
2015-06-13,Emmons-Winthrop,7,7,1.0
2015-06-13,Emmons-Winthrop,2,2,1.0
2015-06-13,Emmons-Winthrop,2,0,0.0
2015-06-13,Emmons-Winthrop,2,2,1.0
2015-06-13,Emmons-Winthrop,4,0,0.0
2015-06-13,Emmons-Winthrop,3,3,1.0
2015-06-13,Fuhrers Finger,3,0,0.0
2015-06-13,Disappointment Cleaver,1,1,1.0
2015-06-13,Emmons-Winthrop,6,6,1.0
